Results when running the crawler with the following settings:
	initialURL=http://www.hkbu.edu.hk/eng/main/index.jsp
	maxURLs=100
	maxPoolSize=10

Note: One URL didn't get crawled due to a 403 error.

HTTP error fetching URL for http://buwww.hkbu.edu.hk/eng/about/privacy.jsp
crawler.PageResultException: HTTP error fetching URL
	at crawler.Http.get(Http.java:67)
	at crawler.Crawler.start(Crawler.java:55)
	at crawler.SearchServer.main(SearchServer.java:29)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:483)
	at com.intellij.rt.execution.application.AppMain.main(AppMain.java:147)

URL LAST_CRAWLED(EPOCH) WORD FIRST_OCCURRENCE NUM_OCCURRENCES

http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 copyright 121 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 education 25 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 baptist 5 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 kong 4 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 hong 3 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 reserved 128 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 alumni 0 8
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 library 16 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 rights 127 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 policy 105 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 centre 48 5
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 information 115 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 facilities 19 4
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 contact 8 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 donation 88 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 sitemap 7 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 all 126 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 hkbu 26 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 campus 18 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 sharing 35 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 full 37 1
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 university 6 2
http://aao.hkbu.edu.hk/en/home/index.php 1477217816522 privacy 141 1
